#SampleID,Var
SRR062670,4.0
SRR062671,4.0
SRR062672,4.0
SRR062673,4.7
SRR062674,5.0
SRR062675,4.0
SRR062676,4.7
SRR062677,5.8
SRR062678,4.4
SRR062679,4.4
SRR062680,4.0
SRR062681,5.0
SRR062682,4.7
SRR062683,4.4
SRR062684,4.4
SRR062685,5.8
SRR062686,7.0
SRR062687,4.0
SRR062688,4.0
SRR062689,4.0
SRR062690,4.7
SRR062691,5.0
SRR062692,7.0
SRR062693,4.0
SRR062694,5.0
SRR062695,4.4
SRR062696,4.0
SRR062697,5.5
SRR062698,4.0
SRR062699,5.8
SRR062700,5.0
SRR062701,4.0
SRR062702,4.4
SRR062703,4.0
SRR062704,5.0
SRR062705,4.4
SRR062706,4.0
SRR062707,5.5
SRR062708,5.3
SRR062709,4.7
SRR062710,4.4
SRR062711,5.5
SRR062712,4.0
SRR062713,4.4
SRR062714,5.5
SRR062715,4.0
SRR062716,5.3
SRR062717,5.0
SRR062718,4.7
SRR062719,4.0
SRR062720,5.5
SRR062721,5.3
SRR062722,5.0
SRR062723,4.4
SRR062724,4.0
SRR062725,5.0
SRR062726,5.5
SRR062727,4.0
SRR062728,4.0
SRR062729,4.0
SRR062731,5.8
SRR062732,5.4
SRR062733,5.4
SRR062734,4.0
SRR062735,4.0
SRR062736,4.0
SRR062737,4.0
SRR062738,4.0
SRR062739,5.0
SRR062740,5.0
SRR062741,5.5
SRR062742,5.3
SRR062743,4.4
SRR062744,4.0
SRR062745,4.7
SRR062746,4.0
SRR062747,4.0
SRR062748,4.0
SRR062749,4.0
SRR062751,4.0
SRR062752,5.0
SRR062753,4.0
SRR062755,5.5
SRR062756,4.7
SRR062757,4.4
SRR062758,5.3
SRR062759,5.5
SRR062760,4.0
SRR062761,4.0
SRR062762,4.0
SRR062763,5.0
SRR062764,4.0
SRR062765,4.0
SRR062766,5.0
SRR062767,4.4
SRR062768,5.0
SRR062769,4.7
SRR062770,4.0
SRR062771,4.4
SRR062772,5.0
SRR062773,4.0
SRR062774,5.0
SRR062775,5.5
SRR062776,4.4
SRR062777,4.0
SRR062778,4.0
SRR062779,5.8
SRR062780,5.5
SRR062781,4.0
SRR062783,4.4
SRR062784,5.8
SRR062785,4.0
SRR062786,4.0
SRR062787,4.0
SRR062788,5.0
SRR062789,4.0
SRR062790,4.0
SRR062791,4.7
SRR062792,4.0
SRR062793,4.7
SRR062794,4.0
SRR062795,4.0
SRR062796,4.0
SRR062797,4.4
SRR062798,4.4
SRR062799,4.0
SRR062800,5.0
SRR062801,5.0
SRR062802,4.0
SRR062803,5.0
SRR062804,5.5
SRR062805,5.0
SRR062806,5.0
SRR062808,5.8
SRR062809,4.4
SRR062810,5.5
SRR062811,5.3
SRR062812,5.0
SRR062813,5.5
SRR062814,5.5
SRR062815,5.0
SRR062816,5.0
SRR062817,7.0
SRR062818,4.4
SRR062819,5.5
SRR062820,5.0
SRR062821,4.7
SRR062822,5.0
SRR062823,4.4
SRR062824,4.4
SRR062825,4.7
SRR062826,4.7
SRR062827,5.3
SRR062828,5.3
SRR062829,5.0
SRR062830,5.0
SRR062831,5.5
SRR062832,5.0
SRR062833,5.0
SRR062834,4.7
SRR062835,4.4
SRR062836,4.4
SRR062837,4.4
SRR062838,4.4
SRR062839,5.0
SRR062840,4.7
SRR062842,4.4
SRR062843,5.3
SRR062844,4.7
SRR062845,5.8
SRR062846,5.3
SRR062847,4.4
SRR062848,5.0
SRR062849,5.5
SRR062850,7.0
SRR062851,4.4
SRR062852,4.0
SRR062853,4.0
SRR062854,4.4
SRR062855,4.0
SRR062856,5.0
SRR062857,5.3
SRR062858,4.0
SRR062859,5.5
SRR062860,4.0
SRR062861,4.0
SRR062862,4.4
SRR062863,5.5
SRR062864,4.0
SRR062865,4.7
SRR062866,5.0
SRR062867,4.0
SRR062868,4.0
SRR062869,4.0
SRR062870,5.0
SRR062871,4.0
SRR062872,4.7
SRR062873,5.5
SRR062874,4.0
SRR062875,4.0
SRR062876,4.0
SRR062877,7.0
SRR062878,4.0
SRR062879,5.0
SRR062880,5.3
SRR062881,4.0
SRR062882,5.0
SRR062883,4.0
SRR062884,5.0
SRR062885,4.0
SRR062886,5.0
SRR062887,4.4
SRR062888,5.0
SRR062889,4.0
SRR062890,4.0
SRR062891,4.0
SRR062892,5.5
SRR062893,4.0
SRR062894,4.0
SRR062895,7.0
SRR062896,4.0
SRR062897,4.0
SRR062898,4.0
SRR062899,5.0
SRR062900,5.5
SRR062901,4.0
SRR062902,4.0
SRR062903,4.0
SRR062904,4.0
SRR062905,4.7
SRR062906,4.4
SRR062907,4.4
SRR062908,4.0
SRR062909,4.0
SRR062910,5.5
SRR062911,4.0
SRR062912,4.0
SRR062913,4.7
SRR062914,5.8
SRR062915,5.3
SRR062916,4.4
SRR062917,4.4
SRR062918,5.0
SRR062919,4.7
SRR062920,4.0
SRR062921,5.5
SRR062922,4.7
SRR062923,4.7
SRR062924,5.0
SRR062925,4.0
SRR062926,5.3
SRR062927,4.0
SRR062928,5.0
SRR062929,4.0
SRR062930,5.8
SRR062931,4.0
SRR062932,5.3
SRR062934,4.0
SRR062935,5.8
SRR062936,4.0
SRR062937,4.0
SRR062938,4.4
SRR062939,4.7
SRR062940,4.4
SRR062941,5.8
SRR062942,5.0
SRR062943,5.5
SRR062944,4.4
